country,region,income_2022,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,ad_minus_compost_tco2e,best_screening_pathway
India,S. Asia,LMIC,705.75,18726160.898855116,13849515.667263718,4876645.231591398,AD
China,E. Asia & Pacific,UMIC,586.75,33599795.13671648,28806641.32858211,4793153.808134366,AD
United States,N. Amer.,HIC,410.39,29335336.799632207,26610422.605314534,2724914.1943176724,AD
Indonesia,E. Asia & Pacific,UMIC,675.81,7415157.758660124,5566983.65702539,1848174.1016347334,AD
Mexico,L. Amer. & the Caribbean,UMIC,464.38,9733993.479421817,8407491.39638758,1326502.083034236,AD
Iraq,Mid. East & N. Africa,UMIC,688.71,4480472.857686544,3227353.145803718,1253119.711882826,AD
"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,655.37,4484508.329719093,3241577.0358295897,1242931.293889503,AD
Russian Federation,Eur. & Cent. Asia,UMIC,436.33,7846636.851280214,6782921.616,1063715.2352802139,AD
Türkiye,Eur. & Cent. Asia,UMIC,487.93,5516498.97959215,4465318.617948815,1051180.3616433349,AD
"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,570.04,3714860.4797194623,2702758.0904374127,1012102.3892820496,AD
Thailand,E. Asia & Pacific,UMIC,560.29,3816738.971516898,2896507.1359169907,920231.8355999072,AD
Saudi Arabia,Mid. East & N. Africa,HIC,700.05,5042768.805405772,4190534.314804878,852234.4906008942,AD
Philippines,E. Asia & Pacific,LMIC,602.51,3118823.468791469,2315756.28065668,803067.188134789,AD
Algeria,Mid. East & N. Africa,LMIC,633.65,2552793.189778381,1900461.824446765,652331.365331616,AD
Malaysia,E. Asia & Pacific,UMIC,604.04,3116592.104519937,2467256.375675014,649335.728844923,AD
Bangladesh,S. Asia,LMIC,676.48,2184921.8130252413,1631344.8807826384,553576.9322426028,AD
Brazil,L. Amer. & the Caribbean,UMIC,103.39,16651996.318660218,16101328.795313297,550667.5233469214,AD
Australia,E. Asia & Pacific,HIC,577.86,4166899.067111667,3657687.830477533,509211.23663413385,AD
Viet Nam,E. Asia & Pacific,LMIC,415.41,3106877.9224806735,2598682.193638424,508195.7288422496,AD
Morocco,Mid. East & N. Africa,LMIC,662.64,2036266.056066088,1568078.986658743,468187.069407345,AD
Uzbekistan,Eur. & Cent. Asia,LMIC,1121.35,1280955.171062777,846876.6130959927,434078.55796678434,AD
Argentina,L. Amer. & the Caribbean,UMIC,392.69,4034369.74253424,3601411.167052666,432958.5754815736,AD
Libya,Mid. East & N. Africa,UMIC,830.53,1015468.7371744242,664685.3884260124,350783.34874841187,AD
Myanmar,E. Asia & Pacific,LMIC,563.87,1820275.6643655696,1476388.5945542215,343887.0698113481,AD
"Yemen, Rep.",Mid. East & N. Africa,LIC,584.16,1118857.202003124,799089.9109652019,319767.291037922,AD
Cuba,L. Amer. & the Caribbean,UMIC,640.26,839181.5328740433,566200.7266279059,272980.8062461375,AD
Tanzania,Sub-Saharan Africa,LMIC,349.27,1295816.7496649546,1025977.8346377866,269838.915027168,AD
Chile,L. Amer. & the Caribbean,HIC,372.8,2646986.630104001,2381643.7538097263,265342.8762942748,AD
Syrian Arab Republic,Mid. East & N. Africa,LIC,682.27,720054.2802004665,487987.1946745703,232067.08552589623,AD
South Africa,Sub-Saharan Africa,UMIC,729.02,810032.1959869853,578131.9345262734,231900.26146071195,AD
