country,region,income_2022,bio_cng_screen_diverted_ofmsw_tpy,bio_cng_screen_biomethane_m3,bio_cng_screen_avoided_landfill_gwp100_tco2e,bio_cng_screen_avoided_diesel_tco2e,bio_cng_screen_upgrading_electricity_tco2e,bio_cng_screen_net_gwp100_benefit_tco2e,bio_cng_screen_fuel_credit_share
China,E. Asia & Pacific,UMIC,22365388.09724729,1377413846.6677306,30125080.95691484,3649044.7625921513,590530.1159726931,31522093.287177887,0.11576149874781502
United States,N. Amer.,HIC,18178759.03893216,1119572542.4743772,27682060.450659584,2965971.57952312,335717.14148943155,28961833.058450043,0.10240966355745752
Brazil,L. Amer. & the Caribbean,UMIC,14582067.364453563,898063624.6286317,16960941.666447833,2379150.154366171,67843.79751648843,18188960.820859626,0.1308018736088371
India,S. Asia,LMIC,18918140.533282697,1165108721.1384826,14964740.051700734,3086606.0240400676,600816.4956613919,16045119.838002369,0.1923703939393171
Mexico,L. Amer. & the Caribbean,UMIC,7820645.507533701,481648937.41694295,8868518.449056692,1275984.3650049653,163428.81123548248,9400086.068717005,0.13574177466857187
Russian Federation,Eur. & Cent. Asia,UMIC,6674496.0,411061197.326592,7176383.155200001,1088983.3239576076,131052.72778559999,7638472.118028007,0.14256559520423384
Indonesia,E. Asia & Pacific,UMIC,7487320.745860973,461120514.6518694,6008361.214993895,1221600.4674157323,227700.2804967137,6446035.831023647,0.1895118952855307
Türkiye,Eur. & Cent. Asia,UMIC,5898314.005612332,363258591.7131739,4813024.228579663,962344.6611665401,129508.39587412914,5207680.64470914,0.18479333254512367
Saudi Arabia,Mid. East & N. Africa,HIC,3333022.290604116,205270350.5241367,4387015.978835991,543802.2126085429,104997.70145418351,4578213.597043661,0.11878043719054482
Argentina,L. Amer. & the Caribbean,UMIC,3018593.8000000003,185905689.6087176,3779357.271562666,492501.3529114146,53341.72196949,3994268.58769639,0.12330201189486216
Australia,E. Asia & Pacific,HIC,2412589.9642466656,148583821.06474468,3799910.008869874,393628.2587647215,62736.26565328102,3951573.106127394,0.09961305237004299
"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,5192407.120978895,319784008.88347334,3547669.4356112955,847171.7963340975,153132.65346941722,3855969.845865574,0.2197039474368419
Iraq,Mid. East & N. Africa,UMIC,4981548.286056943,306797877.02424264,3521015.417266775,812768.9358126235,154387.89540406247,3809322.217052452,0.21336313640632942
Colombia,L. Amer. & the Caribbean,UMIC,2949909.9797519986,181675669.33630937,3563778.930761639,481295.1832057507,26834.593608309,3799093.6578732845,0.12668684337600078
Thailand,E. Asia & Pacific,UMIC,4496685.915490157,276936729.9677768,3161586.7706351355,733660.785030634,113375.16682154911,3447818.088868372,0.21278987641469013
"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,4861018.683708004,299374838.24275964,2989315.1418419997,793103.8214727187,124693.87907074098,3296604.8672499936,0.2405820088879262
Spain,Eur. & Cent. Asia,HIC,2768343.553267571,170493564.70024404,2904387.865028149,451671.5516038864,27049.06960744445,3123352.872795896,0.14461111824344355
Viet Nam,E. Asia & Pacific,LMIC,3349363.130881186,206276731.43583623,2796127.1502038697,546468.3169198172,62611.152218970914,3031163.4772746833,0.18028335357588382
Malaysia,E. Asia & Pacific,UMIC,2943145.7706939145,181259082.99415204,2640754.8188574207,480191.5626681075,79999.99970984783,2822303.0256566,0.17014174534160534
Philippines,E. Asia & Pacific,LMIC,3649184.2689370685,224741771.49175546,2530875.69331052,595385.9010359584,98940.15062447728,2756227.193566935,0.21601481272138803
Chile,L. Amer. & the Caribbean,HIC,1948676.2875994195,120012838.12029488,2496518.2209637123,317938.01074828516,32690.993400767864,2637000.0255817566,0.12056807268257189
Algeria,Mid. East & N. Africa,LMIC,2818558.110559648,173586121.20843667,2066615.8250642563,459864.35230539035,80369.07060402543,2236723.243290256,0.20559734141668887
Canada,N. Amer.,HIC,2395068.2428904176,147504713.4047922,2031928.7212607022,390769.48675197543,17309.158191369046,2227461.8251252226,0.1754326302449683
Ukraine,Eur. & Cent. Asia,LMIC,1817622.6188164402,111941655.21690051,1928632.3422180987,296555.8330006128,20486.69718007292,2069672.1113093842,0.14328638405094798
Peru,L. Amer. & the Caribbean,UMIC,2199871.565079073,135483164.49753326,1863682.5593861288,358921.99938686506,28491.52658154336,2030686.7734932909,0.1767490703499433
Bangladesh,S. Asia,LMIC,2240429.048650198,137980972.23572057,1763418.1732005677,365539.1916468709,68202.24492738988,1894315.8863248741,0.19296633380193337
Morocco,Mid. East & N. Africa,LMIC,1934416.2787853302,119134609.06794287,1682112.8262931379,315611.40634279425,57681.972133844014,1796336.4095674048,0.17569727177038072
Myanmar,E. Asia & Pacific,LMIC,1669725.305397355,102833125.26416169,1574818.901307396,272425.5154498171,42367.86035794829,1680834.3331866006,0.16207755283850056
France,Eur. & Cent. Asia,HIC,944255.8300623425,58153744.05618664,1309220.6861417703,154060.8987536496,3337.7082953128647,1389796.0552406055,0.11085144339899436
"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),1656380.1918718016,102011241.73254025,1252984.0348391896,270248.18159784557,13448.730510874313,1386732.6578521966,0.19488124121661068
