country,region,income_2022,prevention_screen_prevented_food_waste_tpy,prevention_screen_avoided_ch4_tpy,prevention_screen_avoided_landfill_gwp100_tco2e,prevention_screen_avoided_upstream_tco2e,prevention_screen_net_gwp100_benefit_tco2e,prevention_screen_upstream_share
China,E. Asia & Pacific,UMIC,11182694.048623646,553769.8705315228,15062540.47845742,16774041.07293547,31836581.55139289,0.5268794655562379
India,S. Asia,LMIC,9459070.266641347,275087.1333033222,7482370.025850363,14188605.399962021,21670975.425812386,0.654728507654617
Brazil,L. Amer. & the Caribbean,UMIC,7291033.682226782,311782.01592734986,8480470.833223917,10936550.523340171,19417021.35656409,0.5632455319746031
United States,N. Amer.,HIC,5825833.757283897,326154.4912584259,8871402.162229184,8738750.635925846,17610152.798155032,0.4962336633922553
Indonesia,E. Asia & Pacific,UMIC,3743660.3729304867,110447.81645209366,3004180.6074969475,5615490.55939573,8619671.166892678,0.6514738730363967
Mexico,L. Amer. & the Caribbean,UMIC,2944986.87012229,122778.6720792132,3339579.8805545988,4417480.305183436,7757060.185738035,0.5694786683884857
Russian Federation,Eur. & Cent. Asia,UMIC,2836660.8000000003,112130.98680000003,3049962.8409600006,4254991.2,7304954.040960001,0.5824802149529771
Türkiye,Eur. & Cent. Asia,UMIC,2949157.002806166,88474.71008418498,2406512.1142898314,4423735.504209249,6830247.618499081,0.6476683937823834
"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,2596203.5604894473,65214.51168403117,1773834.7178056478,3894305.3407341707,5668140.058539819,0.6870517137040172
Iraq,Mid. East & N. Africa,UMIC,2457251.423013762,63853.43624837089,1736813.4659556882,3685877.1345206434,5422690.600476332,0.6797137078403245
"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,2430509.341854002,54950.64598974265,1494657.5709209999,3645764.012781003,5140421.583702003,0.7092344379574049
Thailand,E. Asia & Pacific,UMIC,2213753.0660874615,57223.2899662468,1556473.4870819128,3320629.599131192,4877103.086213104,0.680861064536067
Saudi Arabia,Mid. East & N. Africa,HIC,1666511.1453020577,80643.67608154393,2193507.989417995,2499766.7179530864,4693274.707371081,0.5326274027870235
Philippines,E. Asia & Pacific,LMIC,1824592.1344685347,46523.450244678694,1265437.8466552605,2736888.201702802,4002326.0483580623,0.6838243982710002
Colombia,L. Amer. & the Caribbean,UMIC,1474954.9898759993,65510.64210958895,1781889.4653808195,2212432.484813999,3994321.9501948184,0.5538943811742791
Viet Nam,E. Asia & Pacific,LMIC,1674681.565440593,51399.39614345349,1398063.5751019348,2512022.3481608895,3910085.9232628243,0.6424468406731836
Argentina,L. Amer. & the Caribbean,UMIC,1344090.6,61868.97383687772,1682836.088363074,2016135.9000000001,3698971.988363074,0.5450530326649518
Malaysia,E. Asia & Pacific,UMIC,1324415.5968122617,43688.95840021469,1188339.6684858394,1986623.3952183926,3174963.0637042318,0.6257154352216613
Algeria,Mid. East & N. Africa,LMIC,1409279.055279824,37989.26149015177,1033307.9125321282,2113918.582919736,3147226.495451864,0.6716766606962076
Chile,L. Amer. & the Caribbean,HIC,974338.1437997097,45891.879061832944,1248259.1104818562,1461507.2156995647,2709766.326181421,0.5393480617050503
Canada,N. Amer.,HIC,1054973.3952280732,32905.09737305486,895018.6485470921,1582460.09284211,2477478.741389202,0.6387381116153488
Ukraine,Eur. & Cent. Asia,LMIC,908811.3094082201,35452.80040842093,964316.1711090493,1363216.9641123302,2327533.13522138,0.5856917538502282
Morocco,Mid. East & N. Africa,LMIC,967208.1393926651,30921.19165980033,841056.4131465689,1450812.2090889977,2291868.6222355664,0.6330259051558663
Tanzania,Sub-Saharan Africa,LMIC,1057600.0769382396,21152.001538764798,575334.4418544025,1586400.1154073593,2161734.5572617617,0.7338551859099804
Peru,L. Amer. & the Caribbean,UMIC,904726.4810662596,28178.83363229445,766464.274798409,1357089.7215993893,2123553.9963977984,0.6390653234631337
Bangladesh,S. Asia,LMIC,918404.1564419998,26575.965648260506,722866.2656326857,1377606.2346629996,2100472.5002956856,0.6558554013294974
Australia,E. Asia & Pacific,HIC,634102.712828029,36718.12549319711,998733.0134149614,951154.0692420434,1949887.0826570047,0.48779956424243687
"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),828190.0959359008,23032.794758073338,626492.0174195948,1242285.1439038513,1868777.161323446,0.6647583080606997
Guatemala,L. Amer. & the Caribbean,UMIC,753851.1846424146,21394.296620151727,581924.868068127,1130776.7769636218,1712701.6450317488,0.6602298656300177
"Yemen, Rep.",Mid. East & N. Africa,LIC,749342.5572729645,16313.187471832434,443718.6992338422,1124013.8359094467,1567732.5351432888,0.7169678568970397
