country,region,income_2022,ad_screen_net_gwp100_benefit_tco2e,bio_cng_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_four_pathway_screen,best_four_pathway_benefit_tco2e
China,E. Asia & Pacific,UMIC,30955660.820218276,31522093.287177887,29364098.626906,31836581.55139289,Prevention,31836581.55139289
United States,N. Amer.,HIC,27748330.591370605,28961833.058450043,27063528.17435992,17610152.798155032,AD-bio-CNG,28961833.058450043
India,S. Asia,LMIC,16094821.796992082,16045119.838002369,14321050.32005579,21670975.425812382,Prevention,21670975.425812382
Brazil,L. Amer. & the Caribbean,UMIC,16163960.469780372,18188960.820859622,16464786.8243723,19417021.35656409,Prevention,19417021.35656409
Mexico,L. Amer. & the Caribbean,UMIC,8977212.577058932,9400086.068717005,8602420.985662859,7757060.185738035,AD-bio-CNG,9400086.068717005
Indonesia,E. Asia & Pacific,UMIC,6413048.213982178,6446035.831023647,5753605.126615975,8619671.166892678,Prevention,8619671.166892678
Russian Federation,Eur. & Cent. Asia,UMIC,7233594.03971507,7638472.118028007,6949283.428800001,7304954.040960001,AD-bio-CNG,7638472.118028007
Türkiye,Eur. & Cent. Asia,UMIC,4921379.698691069,5207680.64470914,4612334.094538704,6830247.618499081,Prevention,6830247.618499081
"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,3808162.193170664,3855969.845865574,3370997.7833199888,5668140.058539819,Prevention,5668140.058539819
Iraq,Mid. East & N. Africa,UMIC,3802469.8836225593,3809322.217052452,3351518.2368336874,5422690.600476332,Prevention,5422690.600476332
"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,3154412.615596954,3296604.8672499936,2823918.981128835,5140421.583702003,Prevention,5140421.583702003
Thailand,E. Asia & Pacific,UMIC,3305984.331470073,3447818.088868372,3008587.032360583,4877103.086213104,Prevention,4877103.086213104
Saudi Arabia,Mid. East & N. Africa,HIC,4582507.4031837825,4578213.597043661,4273609.895398186,4693274.707371081,Prevention,4693274.707371081
Philippines,E. Asia & Pacific,LMIC,2677316.433420916,2756227.193566935,2406712.1985599366,4002326.0483580623,Prevention,4002326.0483580623
Colombia,L. Amer. & the Caribbean,UMIC,3457877.10227321,3799093.657873285,3463408.2437005774,3994321.9501948184,Prevention,3994321.9501948184
Argentina,L. Amer. & the Caribbean,UMIC,3780215.096402529,3994268.58769639,3676649.617517666,3698971.988363074,AD-bio-CNG,3994268.58769639
Australia,E. Asia & Pacific,HIC,3885432.9443352167,3951573.106127394,3717821.635336381,1949887.0826570047,AD-bio-CNG,3951573.106127394
Viet Nam,E. Asia & Pacific,LMIC,2811530.155647206,3031163.4772746833,2682165.0696756374,3910085.923262824,Prevention,3910085.923262824
Malaysia,E. Asia & Pacific,UMIC,2759717.5699183205,2822303.0256566,2540614.2840095605,3174963.063704232,Prevention,3174963.063704232
Algeria,Mid. East & N. Africa,LMIC,2196391.5761629133,2236723.243290256,1970714.3853524644,3147226.495451864,Prevention,3147226.495451864
Spain,Eur. & Cent. Asia,HIC,2812879.5298896073,3123352.872795896,2810194.97562822,504064.5139235362,AD-bio-CNG,3123352.872795896
Chile,L. Amer. & the Caribbean,HIC,2489711.4965244425,2637000.0255817566,2430214.510278142,2709766.326181421,Prevention,2709766.326181421
Canada,N. Amer.,HIC,1927047.4657825832,2227461.8251252226,1950436.524296356,2477478.741389202,Prevention,2477478.741389202
Ukraine,Eur. & Cent. Asia,LMIC,1880058.4018618965,2069672.111309384,1866787.7326128692,2327533.13522138,Prevention,2327533.13522138
Morocco,Mid. East & N. Africa,LMIC,1781829.302102304,1796336.4095674048,1616294.312407467,2291868.6222355664,Prevention,2291868.6222355664
Tanzania,Sub-Saharan Africa,LMIC,1133828.8722873346,1305395.2214559088,1078699.1984731578,2161734.5572617617,Prevention,2161734.5572617617
Peru,L. Amer. & the Caribbean,UMIC,1820492.7183484235,2030686.7734932909,1788831.9293843133,2123553.9963977984,Prevention,2123553.9963977984
Bangladesh,S. Asia,LMIC,1884797.62081928,1894315.886324874,1687187.5748202447,2100472.5002956856,Prevention,2100472.5002956856
"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),1186687.876406405,1386732.6578521966,1196625.6988107515,1868777.161323446,Prevention,1868777.161323446
Guatemala,L. Amer. & the Caribbean,UMIC,1106645.2733035835,1284848.7136982256,1112550.1630213377,1712701.6450317488,Prevention,1712701.6450317488
Myanmar,E. Asia & Pacific,LMIC,1629572.2838267891,1680834.3331866006,1518006.497791251,513452.31563722255,AD-bio-CNG,1680834.3331866006
"Yemen, Rep.",Mid. East & N. Africa,LIC,942356.7012624654,981224.6458233944,836444.6374452591,1567732.5351432888,Prevention,1567732.5351432888
Ethiopia,Sub-Saharan Africa,LIC,747659.0759931277,953244.1819200563,794341.4324575505,1397566.808790034,Prevention,1397566.808790034
France,Eur. & Cent. Asia,HIC,1253158.2486410604,1389796.0552406055,1277092.381523899,1163179.782355882,AD-bio-CNG,1389796.0552406055
Libya,Mid. East & N. Africa,UMIC,829329.1891569946,792396.9345431896,693507.578900288,1233693.8244010091,Prevention,1233693.8244010091
Sudan,Sub-Saharan Africa,LIC,662427.4190631808,792410.2922756646,664059.653227948,1197924.516656559,Prevention,1197924.516656559
Cuba,L. Amer. & the Caribbean,UMIC,690225.0947636593,705115.9396953605,595295.7747903646,1192984.5224486543,Prevention,1192984.5224486543
Romania,Eur. & Cent. Asia,HIC,820505.3172345078,916311.6545631256,803767.9628346369,1190272.4523961886,Prevention,1190272.4523961886
Italy,Eur. & Cent. Asia,HIC,1023825.914982907,1090226.480108224,995722.4780065432,1182405.341357395,Prevention,1182405.341357395
Cambodia,E. Asia & Pacific,LMIC,675021.394840357,769864.6170423254,657925.3051777607,1113836.675346542,Prevention,1113836.675346542
