country,region,income_2022,ad_screen_net_gwp20_benefit_tco2e,bio_cng_screen_net_gwp20_benefit_tco2e,compost_screen_net_gwp20_benefit_tco2e,prevention_screen_net_gwp20_benefit_tco2e,best_four_pathway_screen_gwp20,best_four_pathway_benefit_gwp20_tco2e
China,E. Asia & Pacific,UMIC,90319790.94119751,90886223.40815713,88728228.74788524,61518646.61188251,AD-bio-CNG,90886223.40815713
United States,N. Amer.,HIC,82298273.24414095,83511775.71122038,81613470.82713026,35092033.529606655,AD-bio-CNG,83511775.71122038
Brazil,L. Amer. & the Caribbean,UMIC,49586992.57719227,51611992.928271525,49887818.9317842,36128537.410270035,AD-bio-CNG,51611992.928271525
India,S. Asia,LMIC,45584162.48710824,45534460.52811852,43810391.01017194,36415645.77087045,AD-electricity,45584162.48710824
Mexico,L. Amer. & the Caribbean,UMIC,26453410.697258886,26876284.188916955,26078619.10586281,14337997.009183861,AD-bio-CNG,26876284.188916955
Russian Federation,Eur. & Cent. Asia,UMIC,21375290.257315073,21780168.335628014,21090979.646400005,13315174.933440004,AD-bio-CNG,21780168.335628014
Indonesia,E. Asia & Pacific,UMIC,18253054.13764662,18286041.754688088,17593611.050280415,14539674.128724895,AD-bio-CNG,18286041.754688088
Türkiye,Eur. & Cent. Asia,UMIC,14405868.619715698,14692169.565733766,14096823.015563332,11572492.079011396,AD-bio-CNG,14692169.565733766
Saudi Arabia,Mid. East & N. Africa,HIC,13227509.479125293,13223215.672985172,12918611.971339697,9015775.745341836,AD-electricity,13227509.479125293
Argentina,L. Amer. & the Caribbean,UMIC,11227772.072717195,11441825.564011056,11124206.59383233,7015148.986019719,AD-bio-CNG,11441825.564011056
Australia,E. Asia & Pacific,HIC,11373490.902990557,11439631.064782735,11205879.593991721,3917978.60909237,AD-bio-CNG,11439631.064782735
"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,10799157.845698806,10846965.498393716,10361993.43584813,9163637.88480389,AD-bio-CNG,10846965.498393716
Colombia,L. Amer. & the Caribbean,UMIC,10480617.936421145,10821834.49202122,10486149.077848513,7505692.367268786,AD-bio-CNG,10821834.49202122
Iraq,Mid. East & N. Africa,UMIC,10740941.441177674,10747793.774607567,10289989.794388803,8845234.783389011,AD-bio-CNG,10747793.774607567
Thailand,E. Asia & Pacific,UMIC,9536170.026545193,9678003.783943491,9238772.727435702,7944271.4284039335,AD-bio-CNG,9678003.783943491
"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,9045121.865697365,9187314.117350407,8714628.231229248,8085776.208752209,AD-bio-CNG,9187314.117350407
Spain,Eur. & Cent. Asia,HIC,8536232.087445077,8846705.430351367,8533547.53318369,912875.4108917841,AD-bio-CNG,8846705.430351367
Viet Nam,E. Asia & Pacific,LMIC,8321545.4222254185,8541178.743852897,8192180.33625385,6665093.556551931,AD-bio-CNG,8541178.743852897
Malaysia,E. Asia & Pacific,UMIC,7963557.948255002,8026143.403993282,7744454.662346241,5516691.233955739,AD-bio-CNG,8026143.403993282
Philippines,E. Asia & Pacific,LMIC,7664630.29965047,7743541.05979649,7394026.064789491,6495982.9814728405,AD-bio-CNG,7743541.05979649
Chile,L. Amer. & the Caribbean,HIC,7409320.931952932,7556609.461010247,7349823.945706633,5169571.0438956665,AD-bio-CNG,7556609.461010247
Algeria,Mid. East & N. Africa,LMIC,6268840.407907183,6309172.075034525,6043163.217096734,5183450.911323999,AD-bio-CNG,6309172.075034525
Canada,N. Amer.,HIC,5931142.298855144,6231556.658197783,5954531.357368915,4241191.960584942,AD-bio-CNG,6231556.658197783
Ukraine,Eur. & Cent. Asia,LMIC,5680598.60564462,5870212.315092107,5667327.936395593,4227803.237112742,AD-bio-CNG,5870212.315092107
Peru,L. Amer. & the Caribbean,UMIC,5493043.644197559,5703237.699342427,5461382.8552334495,3633939.4790887805,AD-bio-CNG,5703237.699342427
Bangladesh,S. Asia,LMIC,5359768.726832163,5369286.992337758,5162158.680833128,3524944.2590424484,AD-bio-CNG,5369286.992337758
Morocco,Mid. East & N. Africa,LMIC,5096581.048032899,5111088.155498,4931046.058338062,3949244.495200864,AD-bio-CNG,5111088.155498
Myanmar,E. Asia & Pacific,LMIC,4732891.883461952,4784153.932821764,4621326.097426414,904049.9415940687,AD-bio-CNG,4784153.932821764
France,Eur. & Cent. Asia,HIC,3833093.130155726,3969730.936755271,3857027.2630385645,2264193.583031467,AD-bio-CNG,3969730.936755271
"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),3655803.4744718657,3855848.2559176576,3665741.2968762126,3103334.960356177,AD-bio-CNG,3855848.2559176576
Guatemala,L. Amer. & the Caribbean,UMIC,3400113.870983849,3578317.311378491,3406018.760701603,2859435.9438718813,AD-bio-CNG,3578317.311378491
Tanzania,Sub-Saharan Africa,LMIC,3401323.437242922,3572889.786411496,3346193.763428745,3295481.839739555,AD-bio-CNG,3572889.786411496
Italy,Eur. & Cent. Asia,HIC,3045825.1122652474,3112225.6773905642,3017721.6752888835,2193404.9399985652,AD-bio-CNG,3112225.6773905642
Poland,Eur. & Cent. Asia,HIC,3029477.332314728,3023222.310186256,2960062.132315088,1705879.257290495,AD-electricity,3029477.332314728
Uzbekistan,Eur. & Cent. Asia,LMIC,2848269.597806639,2742018.594340106,2665254.058465766,1465238.784245725,AD-electricity,2848269.597806639
"Yemen, Rep.",Mid. East & N. Africa,LIC,2691130.3982429025,2729998.3428038317,2585218.334425696,2442119.3836335074,AD-bio-CNG,2729998.3428038317
Ethiopia,Sub-Saharan Africa,LIC,2400429.7128632735,2606014.818790202,2447112.0693276967,2223952.1272251066,AD-bio-CNG,2606014.818790202
Romania,Eur. & Cent. Asia,HIC,2473318.878074811,2569125.2154034283,2456581.52367494,2016679.2328163402,AD-bio-CNG,2569125.2154034283
Ecuador,L. Amer. & the Caribbean,UMIC,2267037.9922254337,2409450.469766067,2273952.791858067,995932.536453871,AD-bio-CNG,2409450.469766067
Libya,Mid. East & N. Africa,UMIC,2273479.9309629444,2236547.67634914,2137658.320706238,1955769.1953039842,AD-electricity,2273479.9309629444
